Winner,Player1,Player2,MatchID,Generation,Replay_Name,
CookieGlob,zer0Koi,CookieGlob,1.70019E+12,[Gen 9] IF NatDex OU,zer0koi-cookieglob-1700191229958,
Konotton,Konotton,Dirt Donut,1.70019E+12,[Gen 7] IF Dex OU,konotton-dirtdonut-1700191651552,
Dirt Donut,Dirt Donut,Camoark,1.70019E+12,[Gen 7] IF Dex OU,dirtdonut-camoark-1700192622366,
CookieGlob,CookieGlob,CanuckChum,1.70019E+12,[Gen 9] IF NatDex OU,cookieglob-canuckchum-1700192957507,
Sabersmoris,Camoark,Sabersmoris,1.70019E+12,[Gen 9] IF NatDex AG,camoark-sabersmoris-1700193711396,
Sabersmoris,Camoark,Sabersmoris,1.70019E+12,[Gen 9] IF NatDex AG,camoark-sabersmoris-1700194673147,
Seelewheele,CookieGlob,Seelewheele,1.7002E+12,[Gen 9] IF NatDex OU,cookieglob-seelewheele-1700196018276,
SonderOfAll,mindacos,SonderOfAll,1.7002E+12,[Gen 7] IF Dex OU,mindacos-sonderofall-1700197153717,
mindacos,Konotton,mindacos,1.7002E+12,[Gen 7] IF Dex OU,konotton-mindacos-1700197382072,
mindacos,mindacos,Male Lover,1.7002E+12,[Gen 7] IF Dex OU,mindacos-malelover-1700197656497,
TheLigmaConspiracy,Base Liquids,TheLigmaConspiracy,1.7002E+12,[Gen 7] IF Dex OU,baseliquids-theligmaconspiracy-1700198486487,
Scuttbugger,eggoverlord,Scuttbugger,1.7002E+12,[Gen 7] IF Dex AG,eggoverlord-scuttbugger-1700199691189,
CookieGlob,Frosty Robins,CookieGlob,1.7002E+12,[Gen 9] IF NatDex OU,frostyrobins-cookieglob-1700199787603,
TheLigmaConspiracy,TheLigmaConspiracy,CrovaxII,1.7002E+12,[Gen 7] IF Dex OU,theligmaconspiracy-crovaxii-1700200142839,
Kamuno,mindacos,Kamuno,1.7002E+12,[Gen 7] IF Dex OU,mindacos-kamuno-1700200782924,
TheLigmaConspiracy,Dirt Donut,TheLigmaConspiracy,1.7002E+12,[Gen 7] IF Dex OU,dirtdonut-theligmaconspiracy-1700201661513,
Dragonforce375,Dragonforce375,Male Lover,1.7002E+12,[Gen 9] IF NatDex OU,dragonforce375-malelover-1700204374264,
Konotton,Konotton,Broskilolz,1.7002E+12,[Gen 7] IF Dex OU,konotton-broskilolz-1700204568638,
Carchawaii,Carchawaii,Kingblocky,1.70021E+12,[Gen 7] IF Dex AG,carchawaii-kingblocky-1700207184478,
Dead corrals,CEOofGenesect,Dead corrals,1.70021E+12,[Gen 7] IF Dex AG,ceoofgenesect-deadcorrals-1700212096568,
Carchawaii,deepsink,Carchawaii,1.70021E+12,[Gen 7] IF Dex AG,deepsink-carchawaii-1700213633583,
mindacos,mindacos,WhatDaDogDo1n?,1.70022E+12,[Gen 7] IF Dex AG,mindacos-whatdadogdo1n-1700216215117,
Carchawaii,irfy2k9,Carchawaii,1.70022E+12,[Gen 7] IF Dex AG,irfy2k9-carchawaii-1700216455307,
Carchawaii,seyash,Carchawaii,1.70022E+12,[Gen 7] IF Dex AG,seyash-carchawaii-1700216995212,
Nucleomituphobia,Horridus,Nucleomituphobia,1.70022E+12,[Gen 7] IF Dex AG,horridus-nucleomituphobia-1700217632954,
F0157,F0157,Skiwjw,1.70022E+12,[Gen 7] IF Dex AG,f0157-skiwjw-1700222205021,
Dead corrals,Carchawaii,Dead corrals,1.70022E+12,[Gen 7] IF Dex AG,carchawaii-deadcorrals-1700222388440,
Carchawaii,Carchawaii,Whiterisere,1.70022E+12,[Gen 7] IF Dex AG,carchawaii-whiterisere-1700222819587,
CEOofGenesect,CEOofGenesect,fish1107,1.70022E+12,[Gen 7] IF Dex OU,ceoofgenesect-fish1107-1700224428889,
Guest 4735,Taveno,Fhantazy,1.70022E+12,[Gen 7] IF Dex AG,taveno-fhantazy-1700224762995,
Carchawaii,Carchawaii,Skiwjw,1.70023E+12,[Gen 7] IF Dex AG,carchawaii-skiwjw-1700225533313,
Milian1,Milian1,Tuesty,1.70023E+12,[Gen 9] IF NatDex AG,milian1-tuesty-1700225834664,
HUEnd,ALTARIEUR26,HUEnd,1.70023E+12,[Gen 7] IF Dex AG,altarieur26-huend-1700226114445,
HUEnd,HUEnd,deepsink,1.70023E+12,[Gen 7] IF Dex AG,huend-deepsink-1700226435880,
Kamuno,nasurave,Kamuno,1.70023E+12,[Gen 7] IF Dex OU,nasurave-kamuno-1700228111692,
oddDutchIntrovert,oddDutchIntrovert,ZileanMaster,1.70023E+12,[Gen 7] IF Dex OU,odddutchintrovert-zileanmaster-1700228237969,
Carchawaii,Carchawaii,Xeradus,1.70023E+12,[Gen 7] IF Dex AG,carchawaii-xeradus-1700228930618,
Tuesty,Tuesty,endofdramamine,1.70023E+12,[Gen 9] IF NatDex OU,tuesty-endofdramamine-1700230999344,
Obsidrugon,Obsidrugon,Bloonship,1.70023E+12,[Gen 9] IF NatDex Doubles,obsidrugon-bloonship-1700233446879,
B_Megamaths,Silino,B_Megamaths,1.70023E+12,[Gen 9] IF NatDex AG,silino-bmegamaths-1700234534896,
Horridus,Silino,Horridus,1.70024E+12,[Gen 7] IF Dex AG,silino-horridus-1700235550239,
HUEnd,HUEnd,Symbiiose,1.70024E+12,[Gen 7] IF Dex AG,huend-symbiiose-1700237154298,
Horridus,Guaka25,Horridus,1.70024E+12,[Gen 7] IF Dex AG,guaka25-horridus-1700237797229,
surpraishd,TheRealKaeldor,surpraishd,1.70024E+12,[Gen 7] IF Dex OU,therealkaeldor-surpraishd-1700238080074,
Timeshark,Timeshark,Das Psycho,1.70024E+12,[Gen 7] IF Dex OU,timeshark-daspsycho-1700238201939,
solarialmp4,solarialmp4,Low-Key-G-Mazing,1.70024E+12,[Gen 7] IF Dex OU,solarialmp4-lowkeygmazing-1700241055477,
ItsEmily,2fort troll,ItsEmily,1.70024E+12,[Gen 9] IF NatDex AG,2forttroll-itsemily-1700241827748,
surpraishd,surpraishd,scrapsorra,1.70024E+12,[Gen 7] IF Dex OU,surpraishd-scrapsorra-1700244011612,
Guest 6008,Josephgaming_99,GhostSushi2,1.70024E+12,[Gen 7] IF Dex AG,josephgaming99-ghostsushi2-1700244416855,
surpraishd,surpraishd,modrift63,1.70024E+12,[Gen 7] IF Dex OU,surpraishd-modrift63-1700244646510,
DynaTheCryo,DynaTheCryo,Das Psycho,1.70024E+12,[Gen 7] IF Dex OU,dynathecryo-daspsycho-1700244903459,
DocHoliray,modrift63,DocHoliray,1.70025E+12,[Gen 7] IF Dex OU,modrift63-docholiray-1700247038171,
Meepbiscuit,besure-is-here,Meepbiscuit,1.70025E+12,[Gen 7] IF Dex OU,besureishere-meepbiscuit-1700247408936,
waflare,mZomber,waflare,1.70025E+12,[Gen 7] IF Dex AG,mzomber-waflare-1700247747864,
surpraishd,Zetious,surpraishd,1.70025E+12,[Gen 7] IF Dex OU,zetious-surpraishd-1700248425249,
B_Megamaths,HiveMindJester,B_Megamaths,1.70025E+12,[Gen 9] IF NatDex AG,hivemindjester-bmegamaths-1700248658828,
CookieGlob,nani72,CookieGlob,1.70025E+12,[Gen 9] IF NatDex OU,nani72-cookieglob-1700248835645,
Meepbiscuit,modrift63,Meepbiscuit,1.70025E+12,[Gen 7] IF Dex OU,modrift63-meepbiscuit-1700248981117,
waflare,waflare,eambplsl,1.70025E+12,[Gen 7] IF Dex AG,waflare-eambplsl-1700249066243,
CookieGlob,nani72,CookieGlob,1.70025E+12,[Gen 9] IF NatDex OU,nani72-cookieglob-1700249374844,
surpraishd,surpraishd,Bluebonz,1.70025E+12,[Gen 7] IF Dex OU,surpraishd-bluebonz-1700249666763,
CookieGlob,nani72,CookieGlob,1.70025E+12,[Gen 9] IF NatDex OU,nani72-cookieglob-1700250251105,
Panda030,Panda030,Terminatphilippe,1.70025E+12,[Gen 7] IF Dex AG,panda030-terminatphilippe-1700251041480,
TotalSylv,Totally Badonkers,TotalSylv,1.70025E+12,[Gen 7] IF Dex AG,totallybadonkers-totalsylv-1700253091495,
BandageBlades,BandageBlades,DynaTheCryo,1.70025E+12,[Gen 7] IF Dex OU,bandageblades-dynathecryo-1700253382377,
DynaTheCryo,DynaTheCryo,Nylah Kuro,1.70025E+12,[Gen 7] IF Dex OU,dynathecryo-nylahkuro-1700254063715,
axl(malxire),axl(malxire),Terminatphilippe,1.70025E+12,[Gen 7] IF Dex AG,axlmalxire-terminatphilippe-1700254357698,
Terminatphilippe,Terminatphilippe,kholdstare03,1.70025E+12,[Gen 7] IF Dex AG,terminatphilippe-kholdstare03-1700254378078,
TotalSylv,Totally Badonkers,TotalSylv,1.70025E+12,[Gen 7] IF Dex AG,totallybadonkers-totalsylv-1700254901078,
